id,name,city,state,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,wifi,Pets,hot_tub,square_feet,price,weekly_price,monthly_price,review_scores_rating,enjoy_stay
81540,Affordable S. Denver Guest House,Englewood,CO,80110,Guesthouse,Entire home/apt,2,1,1,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Long term stays allowed"",Other}",TRUE,TRUE,FALSE,,$75.00 ,$399.00 ,"$1,195.00 ",98,Yes
90307,Comfy King Size Room (Park Hill),Denver,CO,80207,House,Private room,2,1,1,1,Real Bed,"{Internet,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),Cat(s),""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}",TRUE,TRUE,FALSE,,$90.00 ,,,98,Yes
98008,"Beautiful sun filled queen, close to everything!",Denver,CO,80218,House,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",TRUE,FALSE,FALSE,,$70.00 ,$455.00 ,"$1,200.00 ",99,Yes
98014,Beautiful single steps to Downtown,Denver,CO,80205,House,Private room,1,,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Coffee maker"",Oven}",TRUE,FALSE,FALSE,,$60.00 ,$364.00 ,"$1,000.00 ",98,Yes
142683,Historic Denver City Park Condo,Denver,CO,80206,House,Entire home/apt,4,1.5,2,2,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Garden or backyard""}",TRUE,FALSE,FALSE,,$125.00 ,$900.00 ,"$3,200.00 ",94,Yes
172196,Luxury Wash Park Home Great for Families & Groups,Denver,CO,80209,House,Entire home/apt,10,4,5,7,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Bathtub,""Children’s books and toys"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Children’s dinnerware"",""Game console"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Cleaning before checkout""}",TRUE,FALSE,FALSE,,$411.00 ,"$2,400.00 ","$5,500.00 ",99,Yes
184529,HIP SUITE IN  WEST  HIGHLANDS DENVER,Denver,CO,80212,Guest suite,Private room,1,1.5,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Paid parking off premises"",""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}",TRUE,FALSE,FALSE,,$35.00 ,$900.00 ,,97,Yes
192430,TREETOP VIEW ROOM / East Dwntwn 14 -90 days,Denver,CO,80220,Condominium,Private room,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",""Pets live on this property"",Cat(s),""Buzzer/wireless intercom"",Heating,""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""No stairs or steps to enter"",""Extra space around bed"",""Accessible-height bed"",""Host greets you""}",TRUE,TRUE,FALSE,,$32.00 ,$350.00 ,"$1,100.00 ",94,Yes
217996,Highland Snug,Denver,CO,80211,Condominium,Private room,4,1.5,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials}",TRUE,FALSE,FALSE,900,$66.00 ,$950.00 ,"$3,000.00 ",100,Yes
236207,Denver Penthouse 5*Location DIA 33 Minutes $10.50,Denver,CO,80202,Loft,Entire home/apt,4,1.5,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Paid parking off premises"",Elevator,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}",TRUE,FALSE,FALSE,,$235.00 ,"$1,470.00 ","$4,500.00 ",99,Yes
283162,2000 SF-Lodo Club Style Condo,Denver,CO,80202,Apartment,Entire home/apt,4,,2,3,Real Bed,"{""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer}",TRUE,FALSE,TRUE,,"$3,800.00 ","$2,000.00 ",,80,Yes
364585,Washington Park Stunning Townhouse,Denver,CO,80209,Townhouse,Entire home/apt,7,2.5,3,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware""}",TRUE,FALSE,FALSE,,$205.00 ,"$1,625.00 ","$5,300.00 ",96,Yes
370209,Private room in the nest - w/bathroom,Denver,CO,80223,Townhouse,Private room,4,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Pets live on this property"",Dog(s),""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed""}",TRUE,TRUE,FALSE,,$70.00 ,$480.00 ,"$1,200.00 ",99,Yes
477016,Private room In the heart of Denver,Denver,CO,80218,House,Private room,2,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",Other}",TRUE,TRUE,FALSE,,$55.00 ,,,97,Yes
521072,Downtown and Modern by Hospital.,Denver,CO,80218,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Elevator,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water"",""Dishes and silverware"",""Long term stays allowed""}",TRUE,FALSE,FALSE,,$110.00 ,$600.00 ,"$2,400.00 ",96,Yes
548897,"TreeHouse Suite, in Healing Center",Denver,CO,80206,House,Private room,2,1,1,1,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",TRUE,FALSE,FALSE,,$60.00 ,$495.00 ,"$1,545.00 ",95,Yes
575758,a REAL warehouse LOFT,Denver,CO,80205,Loft,Entire home/apt,4,1,2,2,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Free street parking"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Long term stays allowed""}",TRUE,FALSE,FALSE,1000,$200.00 ,$630.00 ,"$2,700.00 ",92,Yes
629194,Private Guest House Studio,Denver,CO,80211,Guesthouse,Entire home/apt,2,1,0,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",""Luggage dropoff allowed""}",TRUE,FALSE,FALSE,,$85.00 ,$738.00 ,,97,Yes
632709,(Phone number hidden by Airbnb) townhome in popular LoHi! (Phone number hidden by Airbnb) BFN (Phone number hidden by Airbnb),Denver,CO,80211,Townhouse,Entire home/apt,5,2,2,2,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance"",Bathtub,""Stair gates"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Wide entrance for guests"",""Well-lit path to entrance""}",TRUE,TRUE,FALSE,,$129.00 ,"$1,175.00 ","$2,950.00 ",98,Yes
662390,Super-Comfortable Private Bedroom,Denver,CO,80210,House,Private room,2,1,1,0,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,Heating,Washer,Dryer,""Smoke detector"",""Lock on bedroom door"",""Self check-in"",Lockbox}",TRUE,FALSE,FALSE,,$65.00 ,$425.00 ,,99,Yes
662431,☆Charming Studio☆ Close to Everything/Free Parking,Denver,CO,80209,Guest suite,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",""Free parking on premises"",""Pets allowed"",Gym,""Free street parking"",Heating,""Family/kid friendly"",""Suitable for events"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""High chair"",""Children’s books and toys"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Game console"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Single level home"",""Luggage dropoff allowed"",""No stairs or steps to enter"",""Flat path to guest entrance"",""Well-lit path to entrance"",""Disabled parking spot"",""No stairs or steps to enter"",""Accessible-height bed"",""No stairs or steps to enter"",""No stairs or steps to enter""}",TRUE,TRUE,FALSE,900,$109.00 ,"$1,000.00 ",,98,Yes
665622,Walk to Everything Downtown- 2BR,Denver,CO,80211,Apartment,Entire home/apt,6,1,2,3,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Gym,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""High chair"",""Children’s books and toys"",""Window guards"",""Room-darkening shades"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",TRUE,FALSE,FALSE,,$120.00 ,$930.00 ,"$3,300.00 ",95,Yes
676825,Beautiful Home in Charming Location,Denver,CO,80238,House,Entire home/apt,6,2.5,3,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Dog(s),""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private living room"",""Private entrance"",Bathtub,""High chair"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Wide hallways"",""Flat path to guest entrance""}",TRUE,FALSE,FALSE,,$199.00 ,,"$5,500.00 ",99,Yes
678602,Great space and close to downtown!,Denver,CO,80211,House,Entire home/apt,3,1,2,2,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Host greets you""}",TRUE,FALSE,FALSE,,$98.00 ,,,98,Yes
732845,"RiNo Breweries, Food, Music & Art just steps away!",Denver,CO,80205,House,Entire home/apt,10,2.5,3,6,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony""}",TRUE,FALSE,FALSE,,$299.00 ,"$2,400.00 ",,99,Yes
746298,Urban Retreat with Private Bath,Denver,CO,80230,Townhouse,Private room,2,1.5,1,1,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed""}",TRUE,FALSE,FALSE,,$55.00 ,$350.00 ,"$1,150.00 ",99,Yes
747085,"3 Bed-2 Bath, Chef’s Kitchen, Prvt Hot Tub in LOHI",Denver,CO,80211,House,Entire home/apt,6,2,3,4,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Gym,Breakfast,""Free street parking"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""High chair"",""Children’s books and toys"",Crib,""Hot water"",""Luggage dropoff allowed""}",TRUE,FALSE,TRUE,,$199.00 ,,,98,Yes
756594,Private lower level 2 bedroom suite,Denver,CO,80220,Guest suite,Entire home/apt,4,1,2,2,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",Breakfast,""Hot tub"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Children’s books and toys"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",TRUE,FALSE,TRUE,850,$78.00 ,,,98,Yes
760023,Lovely home nr dwntn & City Park,Denver,CO,80205,House,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Hot water"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Host greets you""}",TRUE,FALSE,FALSE,,$65.00 ,,,98,Yes
